ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
2429,Ida,Trepczyk,kobieta,1996-07-28,aleja Wiklinowa 87/73 74-743 Jas³o
2430,Krystian,Koœciuszko,mê¿czyzna,1999-08-31,aleja Pa³acowa 59/99 68-410 Lêbork
2431,Igor,U³anowicz,mê¿czyzna,1989-11-22,aleja Dêbowa 272 48-283 Nowa Sól
2432,Ksawery,Byzdra,mê¿czyzna,1986-11-03,pl. G³ogowa 99/12 20-059 Pu³awy
2433,Krystyna,Szela,kobieta,2000-07-03,ulica Po³udniowa 35/47 68-255 Suwa³ki
2434,Kacper,Piestrzeniewicz,mê¿czyzna,1999-03-03,aleja Wieniawskiego 702 79-308 Gliwice
2435,Monika,Mydlak,kobieta,1998-06-06,aleja Skoœna 33/81 06-794 Jarocin
2436,Mateusz,Szurek,mê¿czyzna,1995-02-26,plac ¯ytnia 78/88 53-525 Myszków
2437,Sara,Kluczyk,kobieta,1990-12-22,ulica G³owackiego 38 63-486 Wrzeœnia
2438,Julianna,Czubaj,kobieta,1989-08-24,ulica Orkana 73 54-401 Boles³awiec
2439,Klara,Ciu³a,kobieta,1985-01-14,aleja Koœciuszki 35 81-730 Skar¿ysko-Kamienna
2440,Inga,Sporek,kobieta,1993-07-08,pl. Ceglana 670 84-608 Lublin
2441,Bianka,Maras,kobieta,1998-03-02,plac £¹czna 75 30-189 ¯agañ
2442,Tomasz,Hy¿y,mê¿czyzna,1997-02-02,plac Rycerska 36/36 67-693 Bia³ystok
2443,Karina,Ellwart,kobieta,2001-03-23,plac Pu³askiego 22 70-344 Chojnice
2444,Fabian,Przekop,mê¿czyzna,1990-07-22,ul. Mickiewicza 01 81-709 Stalowa Wola
2445,Anita,Grzelczyk,kobieta,1988-04-09,plac Bankowa 23/34 10-423 Pu³awy
2446,Oskar,Semenowicz,mê¿czyzna,1994-01-10,plac ¯ytnia 00 95-351 Czerwionka-Leszczyny
2447,Dawid,Jarema,mê¿czyzna,1999-06-30,pl. Dworska 955 19-399 Lubartów
2448,Maciej,Hajduga,mê¿czyzna,1992-07-12,pl. Pa³acowa 082 82-358 Œwidnica
2449,Ignacy,Zagu³a,mê¿czyzna,1990-07-05,aleja Zakole 518 54-528 Bia³ystok
2450,Mateusz,Bejnarowicz,mê¿czyzna,2003-08-22,pl. Baczynskiego 744 68-964 Chojnice
2451,Marek,Pawlaczek,mê¿czyzna,2001-06-04,al. W¹ska 82/70 39-815 Katowice
2452,Hubert,Mostek,mê¿czyzna,1983-12-02,ul. Borówkowa 81 70-396 Legnica
2453,Tobiasz,Paw,mê¿czyzna,2002-04-18,ulica Zbo¿owa 369 90-523 Police
2454,Lidia,Eckert,kobieta,1989-11-08,aleja Batalionów Ch³opskich 23 38-766 Otwock
2455,Stanis³aw,Citko,mê¿czyzna,1984-10-19,ul. Lazurowa 665 86-533 Zambrów
2456,Tadeusz,Pryk,mê¿czyzna,1990-12-09,al. Wyspiañskiego 327 85-721 Tomaszów Mazowiecki
2457,Olaf,Koczy,mê¿czyzna,1990-09-27,aleja Dzia³kowa 561 65-732 Czechowice-Dziedzice
2458,Hubert,Szpyrka,mê¿czyzna,1990-12-09,plac Królewska 822 87-040 Oœwiêcim
2459,Marcel,Dawidek,mê¿czyzna,1995-05-14,plac Che³moñskiego 84 26-831 Gdañsk
2460,Filip,Niklewicz,mê¿czyzna,1993-05-29,al. Srebrna 29 63-870 Nysa
2461,£ukasz,Grochola,mê¿czyzna,2003-10-30,pl. Wiosenna 11 33-629 Bydgoszcz
2462,Aurelia,Ciu³a,kobieta,1987-04-23,pl. D³ugosza 37/66 60-936 Jaworzno
2463,Tymoteusz,Nieroda,mê¿czyzna,1983-02-10,pl. Kalinowa 98 39-061 Rybnik
2464,Aleks,Gustaw,mê¿czyzna,2002-01-13,plac Bydgoska 64 12-561 Piastów
2465,Franciszek,Gajcy,mê¿czyzna,1994-06-26,pl. Go³êbia 06 49-628 Miñsk Mazowiecki
2466,Przemys³aw,Nikel,mê¿czyzna,2000-01-10,pl. ¯abia 73 01-480 Lubartów
2467,Marcin,Macias,mê¿czyzna,1996-11-21,plac Mazurska 849 99-492 Boles³awiec
2468,Julianna,Bakalarczyk,kobieta,1984-04-30,pl. Powstañców Wielkopolskich 11/11 29-874 Bia³ogard
2469,Aleks,Sprawka,mê¿czyzna,1986-10-14,ul. Wyspiañskiego 225 66-052 Inowroc³aw
2470,Eliza,Zacharczuk,kobieta,1991-11-08,al. £¹kowa 25 59-219 Ostrów Mazowiecka
2471,Artur,Waniek,mê¿czyzna,1998-10-09,ul. Sk³adowa 08/86 65-783 Kielce
2472,Tymoteusz,Przybycieñ,mê¿czyzna,1986-07-21,ul. Zielna 351 83-132 Ostrów Wielkopolski
2473,El¿bieta,Muniak,kobieta,2004-09-08,ul. Tuwima 01 28-225 Oleœnica
2474,Maciej,Gregorowicz,mê¿czyzna,1984-11-19,ul. Rzemieœlnicza 50 02-358 Bydgoszcz
2475,Aniela,Rubin,kobieta,1995-07-08,ulica Kielecka 05 95-713 Luboñ
2476,Anna Maria,Mak,kobieta,1997-12-17,aleja Turkusowa 024 92-723 Gorlice
2477,Anna Maria,Zapaœnik,kobieta,1988-12-20,al. Zwyciêstwa 87/84 07-816 Opole
2478,Ewelina,Wyroœlak,kobieta,1989-03-11,ulica Ceglana 591 54-738 Lubliniec
2479,Miko³aj,Rapa,mê¿czyzna,2003-10-25,al. Chabrowa 767 39-680 Pruszków
2480,Antoni,Kazana,mê¿czyzna,2004-01-15,plac Lotnicza 31/80 73-637 Chorzów
2481,Oskar,Pabisiak,mê¿czyzna,2000-03-12,pl. ¯urawia 35/40 31-623 Luboñ
2482,Jêdrzej,Hankiewicz,mê¿czyzna,1993-07-24,plac Wróblewskiego 44 71-678 Stalowa Wola
2483,Natan,Biernacik,mê¿czyzna,1994-03-16,al. Klonowa 62/40 67-956 £om¿a
2484,Aniela,Bas,kobieta,1996-05-22,ulica Okrê¿na 224 32-498 Knurów
2485,Jeremi,Nikel,mê¿czyzna,1994-12-16,al. Wiœniowa 15 08-319 Suwa³ki
2486,Apolonia,Wasiuk,kobieta,1997-12-18,aleja Spó³dzielcza 38 18-911 Kraków
2487,Adam,Oczko,mê¿czyzna,1989-05-25,ul. Koœciuszki 65 60-539 Racibórz
2488,Przemys³aw,Æmiel,mê¿czyzna,1984-07-17,ul. Turkusowa 27 93-830 Gorzów Wielkopolski
2489,Aleks,Cheba,mê¿czyzna,1995-04-14,pl. S³onecznikowa 27 43-919 Brzeg
2490,Kalina,Wasiuk,kobieta,1993-03-26,pl. Prosta 86 39-479 Pruszków
2491,Sylwia,Mrózek,kobieta,1997-01-14,aleja Koralowa 14 50-012 Siedlce
2492,Kornel,Parafiniuk,mê¿czyzna,1988-07-04,al. Orzeszkowej 631 56-227 Zgierz
2493,Hubert,Bociek,mê¿czyzna,1994-08-14,pl. Jana Paw³a II 884 79-096 Rumia
2494,Kamil,Januszewicz,mê¿czyzna,1985-07-24,ulica Cyprysowa 78/96 76-144 £ódŸ
2495,Pawe³,Brojek,mê¿czyzna,2000-05-23,al. Nieca³a 67/76 16-581 Suwa³ki
2496,Robert,Drobnik,mê¿czyzna,1986-05-14,plac Rolnicza 13/03 77-989 Rybnik
2497,Ewelina,Rymarz,kobieta,1986-08-27,aleja Zielona 934 13-341 Pruszków
2498,Grzegorz,Ciak,mê¿czyzna,1998-11-18,ulica Brzoskwiniowa 54 46-552 Leszno
2499,Szymon,Pawliczak,mê¿czyzna,1998-06-27,pl. Miarki 30 84-614 Otwock
2500,Natasza,Ka³ek,kobieta,1993-07-29,al. Mi³a 720 22-391 Radom
2501,Marcel,Goliszek,mê¿czyzna,1986-02-14,aleja Narcyzowa 00/47 67-752 Turek
2502,Natan,Kilar,mê¿czyzna,1991-09-04,ulica W³adys³awa £okietka 08 15-974 Poznañ
2503,Andrzej,Ceran,mê¿czyzna,1996-06-05,ulica Reymonta 81 28-083 Be³chatów
2504,Tymoteusz,Kostro,mê¿czyzna,1989-04-09,ul. Piêkna 247 48-556 Sopot
2505,Ada,Mulawa,kobieta,1999-12-05,ulica Skoœna 57/50 61-969 Bia³a Podlaska
2506,Jacek,Kubiaczyk,mê¿czyzna,1997-03-18,plac Ga³czynskiego 617 76-039 K³odzko
2507,Eliza,Drywa,kobieta,1988-10-11,ul. Ptasia 20/20 76-629 Miko³ów
2508,Malwina,Trzyna,kobieta,2005-11-05,ulica G³owackiego 005 17-867 Skawina
2509,Fabian,Kawala,mê¿czyzna,1988-09-22,ul. Robotnicza 81 80-852 Mielec
2510,Malwina,Kutera,kobieta,2001-12-07,plac Spokojna 27/81 74-177 Kraków
2511,Borys,Fedyk,mê¿czyzna,1998-12-30,aleja Browarna 812 20-367 Gorzów Wielkopolski
2512,Maks,£ukasiuk,mê¿czyzna,1983-10-26,pl. Sawickiej 07/76 27-771 £owicz
2513,Sara,£epek,kobieta,1985-12-24,plac ¯eromskiego 39/04 45-301 Œwiebodzice
2514,Sara,Bieszke,kobieta,1987-08-19,al. Jana 42 77-760 Lubartów
2515,Fryderyk,Gabryszak,mê¿czyzna,1992-03-02,ulica Kolejowa 98/37 54-609 O³awa
2516,Bruno,Guzdek,mê¿czyzna,1988-07-17,al. Stefana Batorego 74/65 10-792 Gorzów Wielkopolski
2517,Ernest,Konieczek,mê¿czyzna,1997-01-21,al. Handlowa 127 22-377 Goleniów
2518,Aleks,Betlej,mê¿czyzna,1986-11-23,aleja Ga³czynskiego 241 43-319 Chrzanów
2519,Eryk,Jachimczak,mê¿czyzna,1988-02-05,al. Nieca³a 87/39 24-235 Zgorzelec
2520,Ewa,Rozynek,kobieta,2002-10-07,ulica Klonowa 39 46-975 Zawiercie
2521,Igor,Zadora,mê¿czyzna,1997-11-30,aleja Cegielniana 48/98 74-287 Kraków
2522,Sebastian,Wojtoñ,mê¿czyzna,1993-10-21,ul. Sokola 47/16 26-548 £owicz
2523,Adrianna,Kolbusz,kobieta,1991-03-21,ul. Majowa 184 40-645 Tczew
2524,Kornel,Dytrych,mê¿czyzna,1992-10-24,plac Mi³osza 35 13-998 Ostróda
2525,Robert,Madura,mê¿czyzna,1998-05-14,plac Boles³awa Chrobrego 14/99 87-419 Wieluñ
2526,Kornelia,Knieæ,kobieta,1986-05-29,ul. Diamentowa 443 07-668 Augustów
2527,Rados³aw,Sza³as,mê¿czyzna,1989-11-16,plac Partyzantów 18 85-765 D¹browa Górnicza
2528,Olaf,Lulek,mê¿czyzna,1999-07-30,ul. Rycerska 50/55 95-237 Œroda Wielkopolska
2529,Fabian,Mosio³ek,mê¿czyzna,1997-09-01,ulica Wspólna 52 95-591 Sandomierz
2530,Witold,Szeja,mê¿czyzna,1994-09-12,aleja Jagodowa 43 23-205 Piastów
2531,Dorota,Gosek,kobieta,2004-05-14,aleja Morelowa 16 60-272 Zamoœæ
2532,Monika,Staœko,kobieta,1998-08-26,aleja S³owackiego 63 42-068 Zawiercie
2533,Angelika,Kremer,kobieta,1994-05-11,plac £abêdzia 65 64-801 Brzeg
2534,Melania,Chalimoniuk,kobieta,1986-03-26,al. Diamentowa 66 75-733 Z¹bki
2535,Przemys³aw,S³oñ,mê¿czyzna,1983-04-04,pl. Baczynskiego 511 14-629 Grudzi¹dz
2536,Gustaw,Augustynek,mê¿czyzna,1993-06-04,al. Osiedlowa 12/57 61-237 ¯ory
2537,Jerzy,Ma³as,mê¿czyzna,1997-09-23,ulica Tylna 71/33 10-273 Pu³awy
2538,Wojciech,Chalimoniuk,mê¿czyzna,1989-05-31,pl. Hutnicza 792 28-768 Jelenia Góra
2539,Sonia,Dejneka,kobieta,1997-03-26,plac Lipca 997 65-949 Chrzanów
2540,Bartek,Dyœ,mê¿czyzna,2005-02-21,ulica Ogrodowa 15 90-734 Pruszcz Gdañski
2541,Dagmara,Drobisz,kobieta,2004-03-08,aleja Ba³tycka 33 85-147 Rybnik
2542,Natasza,Banachowicz,kobieta,1996-06-18,aleja Bursztynowa 88/49 42-557 Kwidzyn
2543,Ida,Moj,kobieta,1988-09-29,ulica Przechodnia 88 20-318 Sieradz
2544,Kajetan,Szpyra,mê¿czyzna,1995-06-08,plac Osiedlowa 30 39-870 Jawor
2545,Anita,Piesik,kobieta,1999-06-06,plac Konarskiego 79/05 96-712 Jarocin
2546,Olga,Arendarczyk,kobieta,1992-06-28,al. Kruczkowskiego 062 11-553 Sieradz
2547,Marcin,Rozumek,mê¿czyzna,1994-03-06,al. Wojska Polskiego 09/63 02-836 Lubin
2548,Tomasz,Kojder,mê¿czyzna,1983-10-29,ulica Listopada 646 16-412 Œroda Wielkopolska
2549,Oskar,Puto,mê¿czyzna,1993-02-22,aleja Letnia 640 62-985 Grudzi¹dz
2550,Tomasz,Æmiel,mê¿czyzna,1984-10-29,ul. Liliowa 56 67-519 £owicz
2551,Maks,Pyszczek,mê¿czyzna,1985-02-15,plac Jesionowa 63 47-779 Krosno
2552,Ksawery,Tla³ka,mê¿czyzna,1996-12-31,ul. Korfantego 87/97 66-413 Krotoszyn
2553,Melania,Ja³owiec,kobieta,2002-05-06,ulica Kruczkowskiego 187 73-981 Koszalin
2554,Tomasz,Ska³a,mê¿czyzna,1988-06-27,ulica Poniatowskiego 28 15-556 Kêtrzyn
2555,Maksymilian,Szpyt,mê¿czyzna,1996-07-12,ulica Powstañców Wielkopolskich 67/81 10-384 Piotrków Trybunalski
2556,Gustaw,Indyka,mê¿czyzna,1994-09-29,ulica Jana Paw³a II 21/45 19-611 Jarocin
2557,Kornel,Podpora,mê¿czyzna,1992-05-30,aleja Œl¹ska 44 13-409 Gi¿ycko
2558,Maciej,Kiepura,mê¿czyzna,2002-04-09,pl. Lubelska 257 67-071 Poznañ
2559,Kamil,Szlaga,mê¿czyzna,1990-05-29,pl. Torowa 680 59-866 Ostróda
2560,Marianna,Siembab,kobieta,1999-01-13,pl. Pla¿owa 79 41-965 Gliwice
2561,Ryszard,Kilar,mê¿czyzna,1997-05-21,aleja Morelowa 308 10-656 Otwock
2562,Hubert,Kukuczka,mê¿czyzna,1996-06-08,pl. Szpitalna 11 92-933 Kêtrzyn
2563,Fryderyk,Katana,mê¿czyzna,1991-08-09,pl. ¯eromskiego 30 92-846 Zgierz
2564,Ryszard,Ch³¹d,mê¿czyzna,2004-10-06,aleja Sosnowa 522 83-624 Ostrów Wielkopolski
2565,Kamil,Baumgart,mê¿czyzna,2000-08-05,pl. Okulickiego 00/21 42-928 £om¿a
2566,Tymoteusz,Walocha,mê¿czyzna,1998-07-13,aleja Górska 16/67 14-203 Siemianowice Œl¹skie
2567,Marika,Sutor,kobieta,1985-09-07,ulica W³adys³awa Jagie³³y 68 90-499 Lublin
2568,Konstanty,Matynia,mê¿czyzna,2003-01-15,plac Wodna 74 23-441 £uków
2569,Leon,Dietrich,mê¿czyzna,1987-04-04,aleja Pomorska 15 39-846 Brzeg
2570,Kamil,Heba,mê¿czyzna,1995-02-20,aleja Mickiewicza 24 68-482 Nowa Ruda
2571,Sandra,Saczuk,kobieta,2001-04-28,ul. Kosynierów 69/39 19-172 O³awa
2572,El¿bieta,Roczniak,kobieta,1996-10-28,ul. Orzechowa 451 83-853 Leszno
2573,Krystyna,Abramczuk,kobieta,1996-04-29,ul. Œwierczewskiego 62 58-152 Che³m
2574,Roksana,Bart³omiejczyk,kobieta,1998-11-28,plac Rzeczna 005 44-492 Racibórz
2575,Karol,£ukowicz,mê¿czyzna,2003-11-19,plac Weso³a 889 29-977 Wyszków
2576,Bianka,Dziadura,kobieta,1983-01-01,al. Dolna 923 53-110 Brodnica
2577,Aniela,Blaut,kobieta,1986-05-19,plac Zwyciêstwa 51 07-889 Legnica
2578,Karol,Bulanda,mê¿czyzna,1997-05-29,pl. Konarskiego 33/85 10-370 Czêstochowa
2579,Natasza,Matulka,kobieta,1996-08-13,ulica Wilcza 473 65-847 ¯ywiec
2580,Stanis³aw,Kluczyk,mê¿czyzna,1991-04-15,al. Torowa 511 35-306 Sandomierz
2581,Ida,Kroll,kobieta,2003-02-03,ul. Robotnicza 278 12-908 Chojnice
2582,Aleks,Szajna,mê¿czyzna,1999-08-26,plac Cyprysowa 421 82-218 £aziska Górne
2583,Adrian,Chomik,mê¿czyzna,1992-09-27,aleja Kowalska 683 93-502 Kielce
2584,Marianna,Go³as,kobieta,1994-04-15,al. D¹browskiej 38/08 27-571 Olsztyn
2585,Ignacy,Wandzel,mê¿czyzna,1998-06-17,plac Sk³adowa 94/57 20-515 Konin
2586,Przemys³aw,Fornalik,mê¿czyzna,1985-12-11,pl. Miodowa 55 67-934 Sieradz
2587,Nicole,Rubaj,mê¿czyzna,1998-10-25,ulica Malinowa 44 64-155 Nowa Ruda
2588,Ewa,Lewek,kobieta,1991-07-29,ul. Kolorowa 92 35-591 ¯yrardów
2589,Robert,Pietrek,mê¿czyzna,1991-09-13,aleja Borówkowa 16/90 95-834 Lubartów
2590,Marianna,Kalka,kobieta,1983-03-10,aleja Jana 86/23 91-888 Cieszyn
2591,Borys,Siewert,mê¿czyzna,2003-05-14,pl. Wybickiego 210 53-938 Œwiebodzice
2592,Maks,Pa³ac,mê¿czyzna,1985-12-04,plac Pu³askiego 27 59-655 Ostrów Wielkopolski
2593,Emil,Stochmal,mê¿czyzna,1996-01-20,al. S³oneczna 62/43 46-047 Jas³o
2594,Robert,Damek,mê¿czyzna,1986-10-30,ulica Wieniawskiego 797 40-352 Kielce
2595,El¿bieta,Sobuœ,kobieta,1994-01-26,aleja Fio³kowa 55 25-809 Nowa Sól
2596,Gabriel,Malara,mê¿czyzna,2004-11-11,ul. Kolejowa 05/33 56-772 Kalisz
2597,Aleks,Steckiewicz,mê¿czyzna,2004-03-16,pl. Swierkowa 14/31 60-446 Zgierz
2598,Pawe³,Koczy,mê¿czyzna,1983-01-16,ul. D¹browskiego 92 54-038 Gorlice
2599,Stanis³aw,ZbrzeŸniak,mê¿czyzna,1997-01-03,aleja Maczka 48 98-774 Ostro³êka
2600,Maciej,Wo³os,mê¿czyzna,1999-06-13,al. Borówkowa 99 61-950 Pruszcz Gdañski
2601,Justyna,Milcarz,kobieta,1983-11-07,al. Rataja 08 29-042 Lêbork
2602,Kacper,Poczta,mê¿czyzna,2003-05-03,pl. Urocza 25/93 18-008 Turek
2603,Tymoteusz,Welc,mê¿czyzna,1988-08-31,plac Dworska 95 15-148 Tarnobrzeg
2604,Anna Maria,Rêbiœ,kobieta,1989-10-30,pl. Ma³a 58 93-492 Jas³o
2605,Krzysztof,Wyskiel,mê¿czyzna,1999-04-17,aleja Szkolna 158 69-743 Pruszków
2606,Eryk,Labocha,mê¿czyzna,1983-12-01,ul. Odrzañska 80/76 42-466 Bielsko-Bia³a
2607,Dagmara,Szczepaniec,kobieta,1990-04-27,aleja Jaœminowa 732 97-027 Piotrków Trybunalski
2608,Anita,Waloch,kobieta,1990-10-31,ul. G³owackiego 29 32-813 Marki
2609,Norbert,Osica,mê¿czyzna,1999-11-16,pl. Dobra 278 51-288 ¯agañ
2610,Anna Maria,Zdancewicz,kobieta,1990-04-13,pl. Kazimierza Wielkiego 910 92-436 Wrzeœnia
2611,Ewelina,Margol,kobieta,1998-03-22,plac Turystyczna 39 72-402 Miko³ów
2612,Fryderyk,Joniak,mê¿czyzna,1998-06-19,plac Mi³a 690 30-334 Stalowa Wola
2613,Kazimierz,Froñ,mê¿czyzna,1993-12-30,aleja Wiatraczna 10 89-580 Lublin
2614,Dawid,£uczkiewicz,mê¿czyzna,1997-02-21,ulica Bema 23/81 15-153 Siedlce
2615,Adam,Swaczyna,mê¿czyzna,1997-09-05,pl. Jana Sobieskiego 40 88-391 Olsztyn
2616,Anita,Szarpak,kobieta,1991-06-06,ulica Zbo¿owa 04 11-012 Reda
2617,Anita,Herdzik,kobieta,1997-12-25,aleja Starowiejska 34 75-765 £aziska Górne
2618,Ada,Gronkiewicz,kobieta,1990-11-17,pl. Boles³awa Krzywoustego 74/31 11-349 Czechowice-Dziedzice
2619,Leonard,Kala,mê¿czyzna,1998-08-22,ul. Jaworowa 43 68-966 Reda
2620,Iwo,Fura,mê¿czyzna,1992-10-31,ulica Lisia 46 81-630 Bia³a Podlaska
2621,Ró¿a,Lazarek,kobieta,1996-11-01,plac Leszczynowa 997 05-516 Œwiecie
2622,Sebastian,Pabisiak,mê¿czyzna,1991-10-22,aleja ¯urawia 26 76-475 Zawiercie
2623,Bruno,Górnisiewicz,mê¿czyzna,2003-03-18,aleja Kolonia 548 61-061 Cieszyn
2624,Sebastian,Freitag,mê¿czyzna,1996-11-23,ulica Jagodowa 78 91-823 Grodzisk Mazowiecki
2625,Bianka,Ziniewicz,kobieta,2003-06-10,pl. Toruñska 79 70-081 Gorlice
2626,Piotr,Zawartka,mê¿czyzna,1995-10-12,plac Paderewskiego 12/47 96-505 Œwidnica
2627,Alex,Rogacz,mê¿czyzna,2001-04-18,ul. B³êkitna 666 08-861 Suwa³ki
2628,Juliusz,Groth,mê¿czyzna,1994-01-08,aleja Lawendowa 729 71-765 Œwinoujœcie
2629,Fryderyk,Parda,mê¿czyzna,1987-03-05,ulica Ciasna 94 58-544 Sosnowiec
2630,Alex,Szramka,mê¿czyzna,1995-02-22,aleja Pi³sudskiego 48 83-696 Nowa Sól
2631,Aurelia,Grabias,kobieta,1994-09-06,plac Przemys³owa 89 23-214 Olkusz
2632,Bruno,Jêdrzejek,mê¿czyzna,2005-04-24,pl. Jab³oniowa 27/24 36-409 Knurów
2633,Cezary,Kulus,mê¿czyzna,1994-05-21,pl. Ludowa 43/75 79-548 Bi³goraj
2634,Sylwia,Naro¿ny,kobieta,1994-07-20,ulica Stra¿acka 132 86-044 Marki
2635,Patryk,£obacz,mê¿czyzna,1992-03-30,ul. Sikorskiego 157 04-971 Kluczbork
2636,Micha³,Maszczyk,mê¿czyzna,2001-04-07,pl. Topolowa 08 55-939 Wa³brzych
2637,Aurelia,Cheba,kobieta,2003-06-02,ul. Matejki 48/20 64-821 Ostróda
2638,Kamila,Polnik,kobieta,1983-04-06,ul. Rataja 440 57-104 Gorlice
2639,Kajetan,Piwowarek,mê¿czyzna,2000-03-01,al. Piekarska 72/19 32-636 £owicz
2640,Ewa,So³oducha,kobieta,1986-11-12,ul. Kasprowicza 58 79-909 Sochaczew
2641,Szymon,Gorzelañczyk,mê¿czyzna,1991-12-15,pl. Hallera 585 85-856 Tczew
2642,Jan,Zêbik,mê¿czyzna,1996-01-09,plac Powstañców Œl¹skich 45/29 05-111 Polkowice
2643,Wojciech,Ciapa,mê¿czyzna,2002-03-31,ul. Czereœniowa 75 07-630 Oœwiêcim
2644,Adrian,Owsianka,mê¿czyzna,1997-07-01,ulica Sk³odowskiej-Curie 58 34-858 Bytom
2645,El¿bieta,Wyroœlak,kobieta,1993-02-10,pl. Turystyczna 86 38-069 Gdañsk
2646,Wojciech,Ambrozik,mê¿czyzna,1998-01-12,ulica S³owicza 56/30 07-258 Kraœnik
2647,Mariusz,¯uchowicz,mê¿czyzna,1997-12-04,ul. Parkowa 22 30-904 Koœcierzyna
2648,Leon,Górnisiewicz,mê¿czyzna,1998-02-11,pl. Weso³a 323 23-870 D¹browa Górnicza
2649,Maurycy,Citko,mê¿czyzna,1997-10-16,aleja Sosnowa 315 55-629 £owicz
2650,Andrzej,Bartocha,mê¿czyzna,1985-10-27,aleja Jaœminowa 110 54-050 Opole
2651,Natan,Stefankiewicz,mê¿czyzna,1992-03-28,pl. Zapolskiej 494 05-385 Bia³ystok
2652,Marcin,Michalczak,mê¿czyzna,1993-03-05,al. Pocztowa 98 18-011 Elbl¹g
2653,Mi³osz,Popielarczyk,mê¿czyzna,1989-03-05,ul. Hutnicza 73/64 04-192 Szczecin
2654,Iwo,Kolarczyk,mê¿czyzna,1992-07-17,pl. Pla¿owa 63 84-005 Krosno
2655,Julian,Kulis,mê¿czyzna,1989-05-31,plac Ga³czynskiego 17/33 50-726 Gniezno
2656,Szymon,Hetmañczyk,mê¿czyzna,2004-06-19,ul. Wyszyñskiego 096 74-703 Bi³goraj
2657,Gabriel,Mikoda,mê¿czyzna,1991-07-11,plac Poziomkowa 61 81-598 Starogard Gdañski
2658,Jeremi,Szóstak,mê¿czyzna,2002-06-24,ul. Poziomkowa 60/41 73-540 Bielawa
2659,Wojciech,Dylong,mê¿czyzna,2004-05-31,plac Grzybowa 29 70-630 Gorzów Wielkopolski
2660,Aniela,Dulik,kobieta,1986-11-26,plac ¯abia 424 53-788 Warszawa
2661,Micha³,Zaczyk,mê¿czyzna,1999-05-08,ulica S³oneczna 07 56-859 K³odzko
2662,Hubert,Gonet,mê¿czyzna,2004-02-19,plac Harcerska 05 26-441 Brzeg
2663,Filip,Welc,mê¿czyzna,2000-02-06,aleja Strzelecka 719 41-499 Katowice
2664,Mi³osz,Hajduga,mê¿czyzna,1994-09-19,al. Lotnicza 52/20 55-456 Tczew
2665,Malwina,Szyja,kobieta,1983-02-28,al. Weso³a 025 54-805 Zduñska Wola
2666,Filip,Tatarek,mê¿czyzna,1999-08-30,ul. Grabowa 398 76-499 Chorzów
2667,B³a¿ej,Kranc,mê¿czyzna,1995-06-03,pl. Kamienna 40 41-352 Czêstochowa
2668,Filip,D¹browicz,mê¿czyzna,1983-03-21,aleja Warszawska 032 09-752 Szczecinek
2669,El¿bieta,Ciep³uch,kobieta,1986-10-15,ulica Leszczynowa 424 59-638 Wodzis³aw Œl¹ski
2670,Rafa³,Suchta,mê¿czyzna,1999-08-28,pl. Zielna 51/44 77-965 Kutno
2671,Cezary,Sieradzan,mê¿czyzna,1997-05-17,aleja W³adys³awa Jagie³³y 21 07-178 Chojnice
2672,Kamila,Swi¹tek,kobieta,1985-11-18,ulica Jana III Sobieskiego 53/88 49-272 Krotoszyn
2673,Aleksander,Nêdzi,mê¿czyzna,2003-04-18,al. Sarnia 37 51-915 Sandomierz
2674,Julianna,Czerner,kobieta,1998-10-25,ulica Kraszewskiego 65/67 20-297 Warszawa
2675,Marek,Leœny,mê¿czyzna,1997-01-03,pl. Zakole 85 20-806 Elbl¹g
2676,Rados³aw,Klatka,mê¿czyzna,1989-11-25,aleja Torowa 65 90-988 Chorzów
2677,Julita,Klêk,kobieta,1994-10-01,plac Leszczynowa 832 09-924 Malbork
2678,Marcelina,Betlej,kobieta,2001-08-21,plac Mostowa 226 67-506 Police
2679,Cezary,Joœko,mê¿czyzna,1989-02-14,plac Batalionów Ch³opskich 28/92 25-115 W¹growiec
2680,Janina,Trochimiuk,kobieta,2002-10-16,ul. Œrodkowa 387 31-769 Œwiêtoch³owice
2681,Alex,Toborek,mê¿czyzna,1983-11-02,plac Wolnoœci 99/68 46-601 P³ock
2682,Oliwier,Szulist,mê¿czyzna,1988-03-29,al. Nowa 51 94-413 Opole
2683,Tadeusz,Friedrich,mê¿czyzna,1987-03-25,plac Lwowska 06 92-421 Oleœnica
2684,Ignacy,Cholewka,mê¿czyzna,1998-12-14,aleja Szymanowskiego 901 33-222 Sanok
2685,Konstanty,Bazylewicz,mê¿czyzna,1997-07-19,pl. Turkusowa 543 74-155 Œwiêtoch³owice
2686,Gabriel,Malarczyk,mê¿czyzna,1991-02-17,al. Sk³adowa 60 67-957 Kutno
2687,Aniela,Forma,kobieta,1989-02-12,plac Podgórna 63 01-116 E³k
2688,Sebastian,Sz³apka,mê¿czyzna,1986-09-12,ulica £abêdzia 17/37 53-413 Zawiercie
2689,Oskar,Duma³a,mê¿czyzna,2004-11-26,ulica Boles³awa Chrobrego 754 84-348 Miko³ów
2690,Anna Maria,Kliber,kobieta,1985-07-30,pl. Promienna 28 07-083 Chrzanów
2691,Anita,Œwierkosz,kobieta,1987-08-03,pl. Stycznia 86/41 74-436 Pruszcz Gdañski
